Pincode,StateName
508211,TELANGANA
508210,TELANGANA
755028,ODISHA
755022,ODISHA
755011,ODISHA
755012,ODISHA
754246,ODISHA
754224,ODISHA
754213,ODISHA
754231,ODISHA
754227,ODISHA
754215,ODISHA
755061,ODISHA
509202,TELANGANA
752001,ODISHA
226001,UTTAR PRADESH
509321,TELANGANA
534444,ANDHRA PRADESH
534244,ANDHRA PRADESH
534236,ANDHRA PRADESH
508255,TELANGANA
508105,TELANGANA
508113,TELANGANA
508285,TELANGANA
506367,TELANGANA
509133,TELANGANA
509128,TELANGANA
509132,TELANGANA
509126,TELANGANA
509153,TELANGANA
502221,TELANGANA
502278,TELANGANA
502267,TELANGANA
788738,ASSAM
815357,JHARKHAND
788160,ASSAM
524134,ANDHRA PRADESH
524414,ANDHRA PRADESH
524131,ANDHRA PRADESH
524410,ANDHRA PRADESH
524409,ANDHRA PRADESH
524343,ANDHRA PRADESH
524203,ANDHRA PRADESH
524201,ANDHRA PRADESH
500030,TELANGANA
523135,ANDHRA PRADESH
523165,ANDHRA PRADESH
523187,ANDHRA PRADESH
752004,ODISHA
822111,JHARKHAND
533451,ANDHRA PRADESH
508250,TELANGANA
508114,TELANGANA
508248,TELANGANA
534146,ANDHRA PRADESH
522409,ANDHRA PRADESH
813101,BIHAR
522015,ANDHRA PRADESH
522017,ANDHRA PRADESH
522005,ANDHRA PRADESH
522235,ANDHRA PRADESH
522019,ANDHRA PRADESH
522020,ANDHRA PRADESH
522502,ANDHRA PRADESH
522016,ANDHRA PRADESH
522508,ANDHRA PRADESH
522303,ANDHRA PRADESH
522509,ANDHRA PRADESH
522305,ANDHRA PRADESH
522240,ANDHRA PRADESH
522659,ANDHRA PRADESH
522663,ANDHRA PRADESH
522616,ANDHRA PRADESH
522612,ANDHRA PRADESH
522233,ANDHRA PRADESH
534316,ANDHRA PRADESH
522302,ANDHRA PRADESH
522018,ANDHRA PRADESH
522410,ANDHRA PRADESH
522435,ANDHRA PRADESH
522426,ANDHRA PRADESH
522438,ANDHRA PRADESH
522408,ANDHRA PRADESH
841420,BIHAR
841423,BIHAR
814160,JHARKHAND
814147,JHARKHAND
814153,JHARKHAND
814151,JHARKHAND
781335,ASSAM
814156,JHARKHAND
534450,ANDHRA PRADESH
534435,ANDHRA PRADESH
504202,TELANGANA
504105,TELANGANA
382122,GUJARAT
504101,TELANGANA
504103,TELANGANA
504110,TELANGANA
504306,TELANGANA
504109,TELANGANA
504310,TELANGANA
508258,TELANGANA
508257,TELANGANA
508377,TELANGANA
508202,TELANGANA
508243,TELANGANA
533228,ANDHRA PRADESH
533218,ANDHRA PRADESH
385421,GUJARAT
144402,PUNJAB
847201,BIHAR
783124,ASSAM
504323,TELANGANA
504311,TELANGANA
504312,TELANGANA
504293,TELANGANA
847103,BIHAR
480997,MADHYA PRADESH
521225,ANDHRA PRADESH
605403,TAMIL NADU
202001,UTTAR PRADESH
521235,ANDHRA PRADESH
521110,ANDHRA PRADESH
521185,ANDHRA PRADESH
522436,ANDHRA PRADESH
522402,ANDHRA PRADESH
522413,ANDHRA PRADESH
522412,ANDHRA PRADESH
522421,ANDHRA PRADESH
522613,ANDHRA PRADESH
504251,TELANGANA
504102,TELANGANA
504203,TELANGANA
504104,TELANGANA
507167,TELANGANA
507170,TELANGANA
507305,TELANGANA
507163,TELANGANA
507318,TELANGANA
507165,TELANGANA
521260,ANDHRA PRADESH
521330,ANDHRA PRADESH
521324,ANDHRA PRADESH
505530,TELANGANA
226003,UTTAR PRADESH
505303,TELANGANA
505403,TELANGANA
505404,TELANGANA
505305,TELANGANA
505307,TELANGANA
505301,TELANGANA
814111,JHARKHAND
754220,ODISHA
521004,ANDHRA PRADESH
284001,UTTAR PRADESH
521366,ANDHRA PRADESH
811301,BIHAR
811303,BIHAR
815355,JHARKHAND
788120,ASSAM
815359,JHARKHAND
815354,JHARKHAND
848114,BIHAR
754225,ODISHA
754212,ODISHA
754250,ODISHA
505467,TELANGANA
505469,TELANGANA
523291,ANDHRA PRADESH
845107,BIHAR
841440,BIHAR
841416,BIHAR
845101,BIHAR
845438,BIHAR
804401,BIHAR
534122,ANDHRA PRADESH
534327,ANDHRA PRADESH
534230,ANDHRA PRADESH
752119,ODISHA
752107,ODISHA
752106,ODISHA
752104,ODISHA
505306,TELANGANA
521320,ANDHRA PRADESH
636705,TAMIL NADU
804432,BIHAR
804405,BIHAR
504304,TELANGANA
504002,TELANGANA
504307,TELANGANA
754200,ODISHA
841231,BIHAR
841227,BIHAR
841434,BIHAR
841435,BIHAR
841236,BIHAR
841238,BIHAR
841240,BIHAR
841239,BIHAR
841507,BIHAR
841439,BIHAR
841241,BIHAR
841504,BIHAR
841243,BIHAR
841226,BIHAR
841244,BIHAR
841506,BIHAR
522034,ANDHRA PRADESH
522112,ANDHRA PRADESH
522619,ANDHRA PRADESH
524342,ANDHRA PRADESH
847428,BIHAR
788101,ASSAM
788126,ASSAM
788111,ASSAM
788114,ASSAM
788106,ASSAM
788123,ASSAM
788110,ASSAM
500052,TELANGANA
500079,TELANGANA
523230,ANDHRA PRADESH
